Price,Close,High,Low,Open,Volume,Daily_Return,MA_7,MA_30,Volatility_7,Volatility_30
Ticker,ZS=F,ZS=F,ZS=F,ZS=F,ZS=F,,,,,
Date,,,,,,,,,,
2024-07-23,1117.5,1129.0,1111.0,1116.5,51623,-0.02236636099306466,1099.5357142857142,1150.1583333333333,2.2280135484674326,1.3520475104445455
2024-07-24,1111.0,1123.25,1104.5,1115.25,34547,-0.5816554809843444,1104.25,1147.5833333333333,0.8426381026270381,1.3422940399665904
2024-07-25,1116.0,1120.5,1103.5,1111.0,38157,0.4500450045004545,1107.892857142857,1145.5166666666667,0.7813610508281714,1.3418495192531017
2024-07-26,1077.5,1117.25,1071.5,1113.25,61437,-3.4498207885304666,1105.0714285714287,1142.1916666666666,1.60877356852554,1.46889184744005
2024-07-29,1054.75,1073.75,1030.75,1073.75,37618,-2.1113689095127564,1098.8214285714287,1137.7,1.7398783929091997,1.483526742087523
2024-07-30,1027.25,1059.0,1023.75,1054.75,16709,-2.6072529035316427,1088.8214285714287,1132.6166666666666,1.8814024089863743,1.5363724374419048
2024-07-31,1028.5,1048.5,1020.5,1027.25,2651,0.12168410805548646,1076.0714285714287,1128.3083333333334,1.533277730357669,1.515908930723336
2024-08-01,1022.0,1034.0,1019.5,1030.0,1384,-0.6319883325230924,1062.4285714285713,1123.2416666666666,1.4732659887580577,1.4782948329653487
2024-08-02,1029.25,1031.5,1019.0,1022.0,633,0.7093933463796498,1050.75,1119.0416666666667,1.6431556377559433,1.4765769177309083
2024-08-05,1044.25,1045.0,1021.5,1040.0,64,1.4573718727228568,1040.5,1115.1666666666667,1.832134978107206,1.5070085964740625
2024-08-06,1028.5,1038.25,1028.5,1033.0,694,-1.508259516399335,1033.5,1110.275,1.5048684941697534,1.4898831147089235
2024-08-07,1020.25,1023.25,1017.25,1020.75,195,-0.8021390374331583,1028.5714285714287,1105.5083333333334,1.3685814963045013,1.4874361850938145
2024-08-08,1009.75,1023.25,1009.75,1023.25,172,-1.0291595197255532,1026.0714285714287,1100.4083333333333,1.0499319916833414,1.4895886938866838
2024-08-09,1028.0,1028.0,1014.5,1018.0,24,1.8073780638772075,1026.0,1096.2666666666667,1.3083474673132978,1.542925217926837
2024-08-12,1012.0,1038.25,1012.0,1020.5,12,-1.5564202334630295,1024.5714285714287,1091.65,1.4243289127105063,1.5573847384691093
